index,title,description,brand,price,rating,model
20,"Lutron Skylark Contour LED+ Dimmer Switch for LED and Incandescent Bulbs, 150-Watt/Single-Pole or 3-Way, Ivory (CTCL-153PDH-IV) CTCL-153PDH-IV","The Contour LED+ dimmer switch provides optimal dimming performance of LED bulbs. This dimmer switch works with up to 150-Watt of dimmable LED/CFL or 600-Watt of incandescent/halogen, allowing you to control multiple bulb types on the same circuit. It is designed to control a broad range of dimmable LED and CFL bulbs from a variety of brands including Philips, Cree, GE, EcoSmart and Lighting Science. The Contour dimmer switch features a smooth slide, captive knob to adjust your light to any activity. Use the rocker switch to turn your lights off or on returning the lights to your favorite level. Coordinating Claro wall plate sold separately. | Highlights: Dimmer switch provides the best dimming performance for LED bulbs • Contour design with a slide knob for precise lighting control • Works in a 3-way switch or single pole application",Lutron,26.22,4.6,CTCL-153PDH-IV
21,GE Q-Line 40 Amp 1 in. Double Pole Circuit Breaker (THQP240) THQP240,"The GE Q-Line 40 Amp 1 in. Double-Pole Circuit Breaker has a case made of heat-resistant thermoset for stability and structural integrity. The unit has tin-plated copper stabs to create reliable, permanent and corrosion-resistant connections. The circuit breaker has a dedicated calibration screw which is cemented to prevent shifting. The attached screw creates a stable calibration for optimum performance. | Highlights: Provides short circuit and overload protection • 12 in. frame alternative to tandemquad breakers • Compatible with most GE residential load centers",GE,14.99,4.6,THQP240
22,Southwire (By-The-Foot) 10/3 Gray Solid CU UF-B W/G Wire 13059199,"Southwire's copper UF-B cable is used in applications that include outside lamp posts, pumps and other loads. It can also be used for outbuildings such as garages and barns. UF-B feeds from a distribution point in an existing building. UF-B has a heat capacity of 90°C and is rated at 600-Volt. UL Listed and CSA Certified. | Highlights: Notice: This item has a min. order qty of 6ft and a max of 100ft • Protection Plans",Southwire,3.28,5.0,13059199
23,RYOBI Tune-Up Kit for 37cc and 38cc Gas Chainsaws AC0538CSK,"Keep your chain saw running like new with this tune-up kit. This kit includes quality replacements for the parts most susceptible to wear and tear during use. Prepare yourself for the season ahead with a new spark plug, primer bulb, fuel filter and air filter. This kit is compatible with RYOBI 37cc and 38cc gas chain saws. | Highlights: For Use With Gasoline-Powered Chainsaws • Compatible With The RYOBI 37cc  38cc Chainsaws • Protection Plans",RYOBI,24.0,4.2,AC0538CSK
24,GE Q-Line 40 Amp 2 in. Double-Pole Circuit Breaker THQL2140,"The GE Q-Line 40 Amp 2 in. Double-Pole Circuit Breaker has tin-plated copper stabs to create reliable, permanent and corrosion-resistant connections. The unit has a dedicated calibration screw which is cemented to prevent shifting. The attached screw creates a stable calibration for optimum performance. The case is made of heat-resistant thermoset for stability and structural integrity. | Highlights: Provides short circuit and overload protection • Compatible with all ABB and GE residential panels • Protection Plans",GE,14.79,4.7,THQL2140
25,HALO HLBSL4 4 in. Adjustable CCT Canless IC Rated Dimmable Indoor Integrated LED Recessed Light Kit (4-Pack) HLBSL4069FS35-4PK,"The Halo HLB4 Selectable 4-Pack is a complete ultra-thin direct mount downlight that offers you the option of choosing your color temperature directly on the fixture. with the flick of a switch, you can choose between 3 color temperatures ranging from warm (3000K) to daylight (5000K) prior to installing into your ceiling. This module is designed for use in new construction, remodel and retrofit installation, without needing a housing or j-box. This product features an LED driver that offers 120-Volt dimming capability. The HLB4 soft lens provides uniform illumination and wet location listing. | Highlights: Canless LED lights ultra-slim design goes where can lights cant • Recessed lighting suitable for use in both wetdry environments • Protection Plans",HALO,58.97,4.7,HLBSL4069FS35-4PK
26,"Werner 5 in 1 Multi Position Pro 14 ft. Reach Aluminum Adjustable Multi Position Ladder, 375 lb. Load Capacity Type IAA Duty MT-14IAA","Access hard-to-reach places with this Werner 14-ft. reach 5-in-1 multi-position pro ladder. It features 16 adjustable working heights and an adjustable telescoping design for convenient placement. To provide safety, it comes with an extra-wide flared bottom and slip-resistant feet. | Highlights: New with Powerlite rails; lighter weight • Five ladders in one with 16 adjustable working heights • Twin step, stairway step, extension, wall and two scaffold bases",Werner,179.0,4.8,MT-14IAA
27,Square D Homeline 70 Amp 2-Pole Circuit Breaker HOM270CP,"The Square D by Schneider Electric Homeline 70 Amp Two-Pole Circuit Breaker is used for overload and short-circuit protection of your electrical system. This breaker is compatible with Square D Homeline load centers and CSED devices. The ANSI-certified and UL-listed unit is rated for 120/240 VAC and 10,000 AIR. Homeline circuit breakers are built with the same Square D brand quality you have come to expect at a price that makes them the best value in their class. Homeline circuit breakers are the best in class. Designed exclusively for the residential market, Homeline products offer everything you need to distribute electricity throughout your home. | Highlights: Square D breaker protects against overloads and short-circuits • For residentialcommercial use to protect entire branch circuits • Compatible with Homeline electrical panel and CSEDs with 2 spaces",Square D,48.48,4.8,HOM270CP
28,GE 150 Amp 4-Space 8 Circuit Outdoor Combination Main Breaker/Ringless Meter Socket Load Center TSMR415CSCUGP,"Whether a building is powered by overhead lines or underground feeder cable, you can use this GE PowerMark Gold 150 Amp 4-Space 8-Circuit Ring less Meter Socket Combination Load Center. It is approved for use in Georgia Power areas. This unit is built to withstand the toughest environments. | Highlights: Protection Plans",GE,286.92,4.0,TSMR415CSCUGP
29,Glacier Bay 9 in. x 7/8 in. Exposed Screw Assist Bar in Chrome 20135-1401-09,"The Glacier Bay 9 in. x 7/8 in. Exposed Screw Grab Bar in Chrome is made of stainless steel and built-to-last. Designed to provide aid and support to help with balance to help prevent falls, install near your toilet, tub or shower for added safety around the bathroom. Easy to install with mounting hardware included, pair with other Glacier Bay pieces for a complete and polished look. Limited lifetime warranty. | Highlights: Mounting hardware included • Backed by Glacier Bay Limited Lifetime Warranty • Exceeds ADA Standards, ANSI A117.1 compliant  supports 300lbs",Glacier Bay,17.98,4.8,20135-1401-09
